Category,Type,Model,Manufacturer,Physical Location Type,Physical Location,Assigned Locations,Status,Serial Number,No. of Units,Change Date,PO/Contract Number,FRD/Release Number
Seismometer,Feedback,CMG-ESP 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,AK10,AKASG (PS45),In Use,V3221,1,30-MAR-2004,,
Seismometer,Feedback,CMG-ESP 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,AK07,AKASG (PS45),In Use,V3204,1,23-JUL-2009,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,AKTO,AKTO (AS059),In Use,T36284,1,27-OCT-2016,,
Seismometer,Feedback,STS-5a 1500 V/m/s Feedback,G. Streckeisen AG,Station - Site,ANMO,ANMO (AS111),In Use,130912,1,30-APR-2019,,
Seismometer,Feedback,STS-2 1500 V/m/s Low-Power Feedback,G. Streckeisen AG,Station - Site,APG,APG (AS037),In Use,100108,1,14-DEC-2017,,
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC3,ARCES (PS28),In Use,T38216,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARB3,ARCES (PS28),In Use,T38252,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD6,ARCES (PS28),In Use,T38258,1,12-SEP-2018,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC2,ARCES (PS28),In Use,T38206,1,05-JAN-2023,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARB2,ARCES (PS28),In Use,T38202,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC6,ARCES (PS28),In Use,T37446,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARA2,ARCES (PS28),In Use,T38259,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARA3,ARCES (PS28),In Use,T38329,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD8,ARCES (PS28),In Use,T38253,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD7,ARCES (PS28),In Use,T38254,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC4,ARCES (PS28),In Use,T38217,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARB1,ARCES (PS28),In Use,T38215,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARB4,ARCES (PS28),In Use,T38214,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC1,ARCES (PS28),In Use,T38218,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD2,ARCES (PS28),In Use,T38256,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD3,ARCES (PS28),In Use,T38209,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC5,ARCES (PS28),In Use,T38323,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARC7,ARCES (PS28),In Use,T37560,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD5,ARCES (PS28),In Use,T38200,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD4,ARCES (PS28),In Use,T38201,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARB5,ARCES (PS28),In Use,T38199,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD9,ARCES (PS28),In Use,T38205,1,26-SEP-2016,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARA0,ARCES (PS28),In Use,T38255,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARA1,ARCES (PS28),In Use,T38251,1,23-SEP-2014,2009-1767,0009
Seismometer,Feedback,CMG-3T HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ARD1,ARCES (PS28),In Use,T38208,1,13-OCT-2020,2009-1767,0009
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,ARTI,ARTI (AS085),In Use,110642,1,09-SEP-2018,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS01,ASAR (PS03),In Use,145,1,11-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS02,ASAR (PS03),In Use,221,1,21-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS03,ASAR (PS03),In Use,093,1,26-OCT-2017,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS04,ASAR (PS03),In Use,139,1,21-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS05,ASAR (PS03),In Use,173,1,14-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS06,ASAR (PS03),In Use,,1,10-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS06,ASAR (PS03),In Use,135,1,20-JUN-2013,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS07,ASAR (PS03),In Use,149,1,11-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS08,ASAR (PS03),In Use,169,1,16-JUN-2005,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,AS31,ASAR (PS03),In Use,T3P27B,1,15-AUG-2023,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS09,ASAR (PS03),In Use,075B,1,17-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS10,ASAR (PS03),In Use,78,1,17-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS11,ASAR (PS03),In Use,165,1,28-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS12,ASAR (PS03),In Use,146,1,14-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS13,ASAR (PS03),In Use,166,1,20-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS14,ASAR (PS03),In Use,23,1,15-JUN-2005,,
Seismometer,Passive,23900 Passive,"Geotech Instruments, LLC",Station - Site,AS14,ASAR (PS03),In Use,085,1,04-MAR-2022,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS15,ASAR (PS03),In Use,50,1,22-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS16,ASAR (PS03),In Use,056,1,24-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS17,ASAR (PS03),In Use,95,1,10-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS18,ASAR (PS03),In Use,79,1,20-JUN-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,AS19,ASAR (PS03),In Use,071,1,11-JAN-2019,,
Seismometer,Feedback,Trillium T120-BH2 Feedback,"Nanometrics, Inc.",Station - Site,ASF,ASF (AS056),In Use,003299,1,20-NOV-2023,2019-1171,0055
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ATAH,ATAH (AS077),In Use,T3998,1,28-FEB-2006,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,ATD,ATD (AS028),In Use,90315,1,18-DEC-2004,,
Seismometer,Feedback,Trillium 120 P Feedback,"Nanometrics, Inc.",Station - Site,BATI,BATI (AS045),In Use,1085,1,04-OCT-2011,,
Seismometer,Feedback,Trillium 120-QA Feedback,"Nanometrics, Inc.",Station - Facility,CF-ISN-CA,BBB (AS015),In Use,002535,1,02-NOV-2023,,
Seismometer,Feedback,Trillium 120-QA Feedback,"Nanometrics, Inc.",Station - Site,BBB,BBB (AS015),In Use,2631,1,09-MAY-2023,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BBTS,BBTS (AS097),In Use,T39159,1,31-JAN-2018,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BDFB,BDFB (PS07),In Use,T3P87,1,05-MAY-2012,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BELG,BELG (AS094),In Use,T37183,1,23-MAY-2014,2009-1767,0006
Seismometer,Feedback,Trillium T120-BH1 Feedback,"Nanometrics, Inc.",Station - Site,BIL,BIL (AS090),In Use,001065,1,09-OCT-2021,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,BORG,BORG (AS038),In Use,90932,1,17-APR-2012,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BOSA1,BOSA (PS39),In Use,252A1,1,11-MAY-2019,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,BOSAB,BOSA (PS39),In Use,096,1,29-MAY-2014,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BOSAB,BOSA (PS39),In Use,112,1,21-DEC-2004,,
Seismometer,Feedback,3T 1500 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BRDH,BRDH (AS007),In Use,T310075,1,06-OCT-2018,2013-0084,0102
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BR237,BRTR (PS43),In Use,T35623B,1,24-JUN-2021,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR234,BRTR (PS43),In Use,T35127B,1,26-JUL-2023,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR232,BRTR (PS43),In Use,T35094B,1,31-OCT-2018,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BR131,BRTR (PS43),In Use,T34911B,1,30-NOV-2023,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR235,BRTR (PS43),In Use,T35057B,1,31-OCT-2018,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR233,BRTR (PS43),In Use,T35011B,1,31-OCT-2018,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR236,BRTR (PS43),In Use,T3P36B,1,31-OCT-2018,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,BR231,BRTR (PS43),In Use,T35124B,1,31-OCT-2018,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVA1,BVAR (AS057),In Use,312,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVA2,BVAR (AS057),In Use,315,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVA3,BVAR (AS057),In Use,314,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVA4,BVAR (AS057),In Use,310,1,17-DEC-2002,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,BVA0,BVAR (AS057),In Use,T3B55,1,20-AUG-2013,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVB5,BVAR (AS057),In Use,311,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVB6,BVAR (AS057),In Use,313,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVB7,BVAR (AS057),In Use,306,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVB8,BVAR (AS057),In Use,307,1,17-DEC-2002,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,BVB9,BVAR (AS057),In Use,309,1,17-DEC-2002,,
Seismometer,Feedback,STS-2 1500 V/m/s Low-Power Feedback,G. Streckeisen AG,Station - Site,CFAA,CFA (AS001),In Use,110039,1,22-DEC-2004,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM01,CMAR (PS41),In Use,075A,1,14-AUG-2009,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM02,CMAR (PS41),In Use,85,1,14-AUG-2009,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM03,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM04,CMAR (PS41),In Use,65,1,26-OCT-2021,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM05,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM06,CMAR (PS41),In Use,64,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM07,CMAR (PS41),In Use,70,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM08,CMAR (PS41),In Use,107,1,01-JUL-2005,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CM34,CMAR (PS41),In Use,147,1,01-OCT-2012,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CM33,CMAR (PS41),In Use,176,1,23-APR-2013,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM09,CMAR (PS41),In Use,69,1,01-JUL-2005,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CM31,CMAR (PS41),In Use,150,1,20-JUN-2016,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CM36,CMAR (PS41),In Use,064,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM10,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM11,CMAR (PS41),In Use,083,1,08-MAY-2019,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM12,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM13,CMAR (PS41),In Use,89,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM14,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM15,CMAR (PS41),In Use,062,1,11-MAY-2022,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM16,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM17,CMAR (PS41),In Use,34,1,01-JUL-2005,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,KS34,CMAR (PS41),In Use,087,1,12-JUN-2023,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CM35,CMAR (PS41),In Use,,1,01-JUL-2005,,
Seismometer,Passive,23900A Passive,"Geotech Instruments, LLC",Station - Site,CM18,CMAR (PS41),In Use,105,1,01-JUL-2005,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,CMIG,CMIG (AS064),In Use,101003,1,06-DEC-2018,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,CPUPB,CPUP (PS30),In Use,002,1,08-FEB-2022,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,CPUP1,CPUP (PS30),In Use,237-A1,1,25-MAY-2018,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,CTA,CTA (AS004),In Use,120605,1,06-SEP-2019,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,DAV,DAV (AS079),In Use,19125,1,27-JUL-2015,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,DAV,DAV (AS079),In Use,90318,1,25-MAR-2007,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,DAVOX,DAVOX (AS102),In Use,120330,1,27-SEP-2019,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,DBICB,DBIC (PS15),In Use,007,1,18-OCT-2018,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,DBIC1,DBIC (PS15),In Use,110,1,03-OCT-2019,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,DBIC1,DBIC (PS15),In Use,282,1,24-APR-2023,,
Seismometer,Feedback,CMG-3V HYB 40000 V/m/s Feedback,Guralp Systems Ltd.,Depot,NORSAR Hamar Maintenance Center,DEPOT,In Use,V3J20,1,03-JUN-2020,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Depot,U.S. Air Force Technical Applications Center,DEPOT,In Use,075,1,20-JUN-2016,,
Seismometer,Feedback,Trillium 120-QA Feedback,"Nanometrics, Inc.",Station - Site,DLBC,DLBC (AS013),In Use,2599,1,19-JUN-2019,,
Seismometer,Feedback,STS-2 1500 V/m/s Low-Power Feedback,G. Streckeisen AG,Station - Site,DZM,DZM (AS032),In Use,120654,1,18-MAR-2010,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,EIL,EIL (AS048),In Use,119504,1,24-APR-2023,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR6,EKA (AS104),In Use,V3I34,1,12-NOV-2008,,
Seismometer,Feedback,CMG-3T HYB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR31,EKA (AS104),In Use,T38429,1,18-APR-2017,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR10,EKA (AS104),In Use,V3I30,1,17-FEB-2009,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR3,EKA (AS104),In Use,V3I26,1,13-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB3,EKA (AS104),In Use,V3I49,1,14-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR4,EKA (AS104),In Use,V3I48,1,11-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB1,EKA (AS104),In Use,V3I33,1,13-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB9,EKA (AS104),In Use,V3I41,1,17-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR5,EKA (AS104),In Use,V3I43,1,14-SEP-2009,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR9,EKA (AS104),In Use,V3I36,1,12-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR7,EKA (AS104),In Use,V3I37,1,12-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB7,EKA (AS104),In Use,V3I40,1,17-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB4,EKA (AS104),In Use,V3I31,1,14-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR8,EKA (AS104),In Use,V3I42,1,12-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB10,EKA (AS104),In Use,V3I38,1,08-JUN-2009,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB2,EKA (AS104),In Use,V3I27,1,13-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB5,EKA (AS104),In Use,V3I39,1,21-JUL-2010,,
Seismometer,Feedback,CMG-3V HYB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,EKB,EKA (AS104),In Use,T38387,1,18-APR-2019,,
Seismometer,Feedback,CMG-3T HYB 10000 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB31,EKA (AS104),In Use,T37996,1,18-APR-2017,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB6,EKA (AS104),In Use,V3I45,1,14-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR2,EKA (AS104),In Use,V3I29,1,10-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKB8,EKA (AS104),In Use,V3I32,1,17-NOV-2008,,
Seismometer,Feedback,CMG-3V 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,EKR1,EKA (AS104),In Use,V3I28,1,10-NOV-2008,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,ELK,ELK (AS113),In Use,111043,1,09-NOV-2012,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES08,ESDC (PS40),In Use,V3268,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ESBB1,ESDC (PS40),In Use,T36374,1,26-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES03,ESDC (PS40),In Use,V3242,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES12,ESDC (PS40),In Use,V3261,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES18,ESDC (PS40),In Use,V3266,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES04,ESDC (PS40),In Use,V3271,1,26-NOV-2001,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES15,ESDC (PS40),In Use,V3257,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES17,ESDC (PS40),In Use,V3262,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES10,ESDC (PS40),In Use,V3246,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES11,ESDC (PS40),In Use,V3244,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES19,ESDC (PS40),In Use,V3245,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3T 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,ESBB,ESDC (PS40),In Use,T3B10,1,06-OCT-2021,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES09,ESDC (PS40),In Use,V3272,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES16,ESDC (PS40),In Use,V3265,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES01,ESDC (PS40),In Use,V3259,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES02,ESDC (PS40),In Use,V3270,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES05,ESDC (PS40),In Use,V3260,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES13,ESDC (PS40),In Use,V3263,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES07,ESDC (PS40),In Use,V3273,1,18-SEP-2020,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES06,ESDC (PS40),In Use,V3274,1,25-MAR-2014,,
Seismometer,Feedback,CMG-3ESPV 750 V/m/s² Feedback,Guralp Systems Ltd.,Station - Site,ES14,ESDC (PS40),In Use,V3258,1,25-MAR-2014,,
